"C-gbcode","C-source","N-pinyin","N-local","N-hanzi","H","A","change","P","fromdate","todate","NOTES"
110100,"GB","Beijing shixiaqu","Beijing shixiaqu","北京市轄區",1,1,,10,19820101,19941231,
110101,"GB","Beijing: Dongcheng qu","Beijing: Dongcheng qu","北京﹕東城區",1,2,,0,19820101,19941231,
110102,"GB","Beijing: Xicheng qu","Beijing: Xicheng qu","北京﹕西城區",1,2,,0,19820101,19941231,
110103,"GB","Beijing: Chongwen qu","Beijing: Chongwen qu","北京﹕崇文區",1,2,,0,19820101,19941231,
110104,"GB","Beijing: Xuanwu qu","Beijing: Xuanwu qu","北京﹕宣武區",1,2,,0,19820101,19941231,
110105,"GB","Beijing: Chaoyang qu","Beijing: Chaoyang qu","北京﹕朝陽區",1,2,,0,19820101,19941231,
110106,"GB","Beijing: Fengtai qu","Beijing: Fengtai qu","北京﹕豐台區",1,2,,0,19820101,19941231,
110107,"GB","Beijing: Shijingshan qu","Beijing: Shijingshan qu","北京﹕石景山區",1,2,,0,19820101,19941231,
110108,"GB","Beijing: Haidian qu","Beijing: Haidian qu","北京﹕海淀區",1,2,,0,19820101,19941231,
110109,"GB","Beijing: Mentougou qu","Beijing: Mentougou qu","北京﹕門頭溝區",1,2,,0,19820101,19941231,
110110,"GB","Beijing: Yanshan qu","Beijing: Yanshan qu","北京﹕燕山區",1,2,,0,19820101,19861110,
110111,"GB","Beijing: Fangshan qu","Beijing: Fangshan qu","北京﹕房山區",1,2,"CNT",0,19861111,19941231,
110200,"GB","Beijing shixiaxian","Beijing shixiaxian","北京市轄縣",0,0,,10,19820101,19941231,
110221,"GB","Changping","Changping","昌平",1,5,,0,19820101,19941231,
110222,"GB","Shunyi","Shunyi","順義",1,5,,0,19820101,19941231,
110223,"GB","Tong xian","Tong xian","通縣",1,5,,0,19820101,19941231,
110224,"GB","Daxing","Daxing","大興",1,5,,0,19820101,19941231,
110225,"GB","Fangshan","Fangshan","房山",1,5,,0,19820101,19861110,
110226,"GB","Pinggu","Pinggu","平谷",1,5,,0,19820101,19941231,
110227,"GB","Huairou","Huairou","懷柔",1,5,,0,19820101,19941231,
110228,"GB","Miyun","Miyun","密雲",1,5,,0,19820101,19941231,
110229,"GB","Yanqing","Yanqing","延慶",1,5,,0,19820101,19941231,
120100,"GB","Tianjin shixiaqu","Tianjin shixiaqu","天津市轄區",1,1,,10,19820101,19941231,
120101,"GB","Tianjin: Heping qu","Tianjin: Heping qu","天津﹕和平區",1,2,,0,19820101,19941231,
120102,"GB","Tianjin: Hedong qu","Tianjin: Hedong qu","天津﹕河東區",1,2,,0,19820101,19941231,
120103,"GB","Tianjin: Hexi qu","Tianjin: Hexi qu","天津﹕河西區",1,2,,0,19820101,19941231,
120104,"GB","Tianjin: Nankai qu","Tianjin: Nankai qu","天津﹕南開區",1,2,,0,19820101,19941231,
120105,"GB","Tianjin: Hebei qu","Tianjin: Hebei qu","天津﹕河北區",1,2,,0,19820101,19941231,
120106,"GB","Tianjin: Hongqiao qu","Tianjin: Hongqiao qu","天津﹕紅橋區",1,2,,0,19820101,19941231,
120107,"GB","Tianjin: Tanggu qu","Tianjin: Tanggu qu","天津﹕塘沽區",1,2,,0,19820101,19941231,
120108,"GB","Tianjin: Hangu qu","Tianjin: Hangu qu","天津﹕漢沽區",1,2,,0,19820101,19941231,
120109,"GB","Tianjin: Dagang qu","Tianjin: Dagang qu","天津﹕大港區",1,2,,0,19820101,19941231,
120110,"GB","Tianjin: Dongli qu","Tianjin: Dongli qu","天津﹕東麗區",1,2,"N",0,19920212,19941231,
120110,"GB","Tianjin: Dongjiao qu","Tianjin: Dongjiao qu","天津﹕東郊區",1,2,,0,19820101,19920211,
120111,"GB","Tianjin: Xiqing qu","Tianjin: Xiqing qu","天津﹕西青區",1,2,"N",0,19920212,19941231,
120111,"GB","Tianjin: Xijiao qu","Tianjin: Xijiao qu","天津﹕西郊區",1,2,,0,19820101,19920211,
120112,"GB","Tianjin: Jinnan qu","Tianjin: Jinnan qu","天津﹕津南區",1,2,"N",0,19920212,19941231,
