code,name_zh,name_en,alpha
110000,,Beijing,BJ
110200,县,County
120000,,Tianjin,TJ
120200,县,County
130000,,Hebei,HE
130100,,,SJW
130200,,,TGS
130300,,,SHP
130400,,,HDS
130500,,,XTS
130600,,,BDS
130700,,,ZJK
130800,,,CDS
130900,,,CGZ
131000,,,LFS
131100,,Hengshui,HGS
140000,,Shanxi,SX
140100,,,TYN
140200,,,DTG
140300,,,YQS
140400,,,CZS
140500,,,JCG
140600,,,SZJ
140700,,Jinzhong,JZN
140800,,Yuncheng,YCE
140900,,Xinzhou,XZS
141000,,Linfen,LFN
141100,,Luliang,LLH
150000,,Inner Mongolia,NM
150100,,,HET
150200,,,BTS
150300,,,WHM
150400,,,CFS
150500,,Tongliao,TLO
150600,,Ordos,ODS
150700,,Hulunbei'er,HBR
150800,,Bayannao'er,BYR
150900,,Wulanchabu,ULS
152200,,Xing'an,HIN
152500,,Xilingol,XGO
152900,,,ALM
210000,,Liaoning,LN
210100,,Shenyang,SHE
210200,,,DLC
210300,,,ASN
210400,,,FSN
210500,,,BXS
210600,,,DDG
210700,,,JNZ
210800,,,YIK
210900,,,FXS
211000,,,LYL
211100,,,PJS
211200,,,TLS
211300,,,CYS
211400,,Huludao,HLD
220000,,Jilin,JL
220100,,,CGQ
220200,,,JLS
220300,,,SPS
220400,,,LYH
220500,,,THS
220600,,Baishan,BSN
220700,,Songyuan,SYU
220800,,Baicheng,BCS
222400,,,YBZ
230000,,Heilongjiang,HL
230100,,Harbin,HRB
230200,,,NDG
230300,,,JXI
230400,,,HEG
230500,,,SYS
230600,,,DQG
230700,,,YCH
230800,,,JMU
230900,,,QTH
231000,,,MDG
231100,,,HEK
231200,,Suihua,SUH
232700,,Daxing'anling,DHL
310000,,Shanghai,SH
310200,县,County
320000,,Jiangsu,JS
320100,,,NKG
320200,,,WUX
320300,,Xuzhou,XUZ
320400,,Changzhou,CZX
320405,,,QSY
320600,,,NTG
320700,,,LYG
320800,,Huai'an,HAS
320900,,,YCK
321000,,,YZH
321100,,,ZHE
321200,,Taizhou,TZS
321300,,Suqian,SUQ
330000,,Zhejiang,ZJ
330100,,,HGH
330200,,Ningbo,NGB
330300,,,WNZ
330400,,,JIX
330500,,,HZH
330600,,,SXG
330700,,,JHA
330800,,,QUZ
330900,,,ZOS
331000,,,TZZ
331100,,Lishui,LSS
340000,,Anhui,AH
340100,,,HFE
340200,,,WHI
340300,,,BBU
340400,,,HNS
340500,,,MAA
340600,,,HBE
340700,,,TOL
340800,,,AQG
341000,,,HSN
341100,,,CUZ
341200,,Fuyang,FYS
341300,,Suzhou,SUZ
341500,,Lu'an,LAW
341600,,Bozhou,BOZ
341700,,Chizhou,CIZ
341800,,Xuancheng,XCI
350000,,Fujian,FJ
350100,,,FOC
350200,,,XMN
350300,,,PUT
350400,,,SMS
350500,,,QZJ
350600,,,ZZU
350700,,,NPS
350800,,Longyan,LYF
350900,,Ningde,NDS
360000,,Jiangxi,JX
360100,,,KHN
360200,,,JDZ
360300,,,PXS
360400,,,JIU
360500,,,XYU
360600,,,YTS
360700,,Ganzhou,GZH
360800,,Ji'an,JAS
360900,,Yichun,YCN
361000,,Fuzhou,FUZ
361100,,Shangrao,SRS
370000,,Shandong,SD
370100,,Jinan,TNA
370200,,,TAO
370300,,,ZBO
370400,,,ZZG
370500,,,DYG
370600,,,YNT
370700,,,WEF
370800,,Jining,JNG
370900,,Tai'an,TAI
371000,,,WEH
371100,,,RZH
371200,,,LWS
371300,,Linyi,LYI
371400,,Dezhou,DZS
371500,,Liaocheng,LCH
371600,,Binzhou,BZH
371700,,Heze,HZS
410000,,Henan,HA
410100,,,CGO
410200,,,KFS
410300,,,LYA
410400,,,PDS
410500,,,AYS
410600,,,HBS
410700,,,XXS
410800,,,JZY
410900,,,PYS
411000,,,XCS
411100,,,LHS
411200,,,SMX
411300,,,NYS
411400,,Shangqiu,SQS
411500,,Xinyang,XYG
411600,,Zhoukou,ZKS
411700,,Zhumadian,ZMD
411901,省直辖县级行政区划,Directly under the provincial level administrative divisions
420000,,Hubei,HB
420100,,,WUH
420200,,,HSI
420300,,,SYE
420500,,,YCO
420700,,,EZS
420800,,,JMS
420900,,,XGE
421000,,Jingzhou,JGZ
421003,,,JZQ
421100,,Huanggang,HGE
421200,,Xianning,XNS
421300,,Suizhou,SZR
422800,,,ESH
429000,省直辖县级行政区划,Directly under the provincial level administrative divisions
430000,,Hunan,HN
430100,,,CSX
430200,,,ZZS
430300,,Xiangtan,XGT
430400,,Hengyang,HNY
430500,,,SYR
430600,,,YYG
430700,,,CDE
430800,,,ZJJ
430900,,,YYS
431000,,,CNZ
431100,,Yongzhou,YZS
431200,,Huaihua,HHS
431300,,Loudi,LDI
433100,,West Hunan,ZZX
440000,,Guangdong,GD
440100,,,CAN
440200,,,HSC
440300,,,SZX
440400,,,ZUH
440500,,,SWA
440600,,,FOS
440700,,,JMN
440800,,,ZHA
440900,,,MMI
441200,,,ZQG
441300,,,HUI
441400,,,MXZ
441500,,,SWE
441600,,,HEY
441700,,,YJI
441800,,,QYN
441900,,,DGG
442000,,,ZSN
445100,,,CZY
445200,,,JIY
445300,,,YFS
450000,,Guangxi,GX
450100,,Nanning,NNG
450105,,,JNA
450200,,,LZH
450300,,,KWL
450400,,,WUZ
450500,,,BHY
450600,,,FAN
450700,,,QZH
450800,,Guigang,GUG
450900,,Yulin,YUL
451000,,Baise,BSS
451100,,Hezhou,HZO
451200,,Hechi,HCS
451300,,Laibin,LIB
451400,,Chongzuo,COZ
460000,,Hainan,HI
460100,,,HAK
460200,,,SYX
469000,省直辖县级行政区划,Directly under the provincial level administrative divisions
500000,,Chongqing,CQ
500200,县,County
510000,,Sichuan,SC
510100,,,CTU
510300,,,ZGS
510400,,Panzhihua,PZH
510500,,,LUZ
510600,,,DEY
510700,,,MYG
510800,,,GYC
511000,,,NJS
511100,,,LES
511300,,,NCO
511400,,Meishan,MSS
511500,,Yibin,YBS
511600,,Guang'an,GAC
511700,,Dazhou,DAZ
511800,,Ya'an,YAS
511900,,Bazhong,BZS
512000,,Ziyang,ZYS
513200,,,ABA
513300,,Ganzi,GAZ
513400,,,LSY
520000,,Guizhou,GZ
520100,,,KWE
520200,,Liupanshui,LPS
520300,,Zunyi,ZNY
520400,,Anshun,ASS
522300,,Southwest Guizhou,QXZ
522600,,Southeast Guizhou,QND
522700,,South Guizhou,QNZ
530000,,Yunnan,YN
530100,,,KMG
530300,,Qujing,QJS
530400,,Yuxi,YXS
530500,,Baoshan,BOS
530600,,Zhaotong,ZTS
530700,,Lijiang,LJH
530800,,Pu'er,PRS
530900,,Lincang,LIH
532300,,,CXD
532500,,,HHZ
532600,,,WSZ
532800,,,XSB
532900,,,DLZ
533100,,,DHG
533300,,Nujiang,NUJ
