110000,北京市,Beijing,,1,39.9081726,116.3979471
110100,北京市轄區,Beijing shixiaqu,Beijing shixiaqu,2,,
110101,北京﹕東城區,Beijing: Dongcheng qu,Beijing: Dongcheng qu,3,,
110102,北京﹕西城區,Beijing: Xicheng qu,Beijing: Xicheng qu,3,,
110105,北京﹕朝陽區,Beijing: Chaoyang qu,Beijing: Chaoyang qu,3,,
110106,北京﹕豐台區,Beijing: Fengtai qu,Beijing: Fengtai qu,3,,
110107,北京﹕石景山區,Beijing: Shijingshan qu,Beijing: Shijingshan qu,3,,
110108,北京﹕海淀區,Beijing: Haidian qu,Beijing: Haidian qu,3,,
110109,北京﹕門頭溝區,Beijing: Mentougou qu,Beijing: Mentougou qu,3,,
110111,北京﹕房山區,Beijing: Fangshan qu,Beijing: Fangshan qu,3,,
110112,通州区,,,3,39.8137941,116.7393494
110113,顺义区,,,3,40.1592710,116.7279768
110114,昌平区,,,3,40.2105317,116.1764824
110115,大兴区,,,3,39.6365467,116.4718795
110116,怀柔区,,,3,40.6455941,116.5880084
110117,平谷区,,,3,40.2040750,117.1602738
110200,北京市轄縣,Beijing shixiaxian,Beijing shixiaxian,2,,
110228,密雲,Miyun,Miyun,3,,
110229,延慶,Yanqing,Yanqing,3,,
120000,天津市,Tianjin,,1,39.1038561,117.2523808
120100,天津市轄區,Tianjin shixiaqu,Tianjin shixiaqu,2,,
120101,天津﹕和平區,Tianjin: Heping qu,Tianjin: Heping qu,3,,
120102,天津﹕河東區,Tianjin: Hedong qu,Tianjin: Hedong qu,3,,
120103,天津﹕河西區,Tianjin: Hexi qu,Tianjin: Hexi qu,3,,
120104,天津﹕南開區,Tianjin: Nankai qu,Tianjin: Nankai qu,3,,
120105,天津﹕河北區,Tianjin: Hebei qu,Tianjin: Hebei qu,3,,
120106,天津﹕紅橋區,Tianjin: Hongqiao qu,Tianjin: Hongqiao qu,3,,
120110,东丽区,,,3,39.1204804,117.4016726
120111,西青区,,,3,39.0002343,117.1217895
120112,津南区,,,3,38.9608437,117.3934865
120113,北辰区,,,3,39.2567314,117.1766567
120114,武清区,,,3,39.4223536,117.0672548
120115,宝坻区,,,3,39.5961733,117.4242568
120116,滨海新区,,,3,,
120200,天津市轄縣,Tianjin shixiaxian,Tianjin shixiaxian,2,,
120221,寧河,Ninghe,Ninghe,3,,
120223,靜海,Jinghai,Jinghai,3,,
120225,薊縣,Ji xian,Ji xian,3,,
130000,河北省,Hebei,,1,38.0451279,114.4897766
130100,石家莊市,Shijiazhuang shi,Shijiazhuang shi,2,,
130101,石家莊市轄區,Shijiazhuang shixiaqu,Shijiazhuang shixiaqu,3,,
130102,石家莊﹕長安區,Shijiazhuang: Chang'an qu,Shijiazhuang: Chang'an qu,3,,
130103,石家莊﹕橋東區,Shijiazhuang: Qiaodong qu,Shijiazhuang: Qiaodong qu,3,,
130104,石家莊﹕橋西區,Shijiazhuang: Qiaoxi qu,Shijiazhuang: Qiaoxi qu,3,,
130105,石家莊﹕新華區,Shijiazhuang: Xinhua qu,Shijiazhuang: Xinhua qu,3,,
130107,石家莊﹕井陘礦區,Shijiazhuang: Jingxing Kuangqu,Shijiazhuang: Jingxing Kuangqu,3,,
130108,裕华区,,,3,38.0064515,114.5314193
130121,井陘,Jingxing,Jingxing,3,,
130123,正定,Zhengding,Zhengding,3,,
130124,欒城,Luancheng,Luancheng,3,,
130125,行唐,Xingtang,Xingtang,3,,
130126,靈壽,Lingshou,Lingshou,3,,
130127,高邑,Gaoyi,Gaoyi,3,,
130128,深澤,Shenze,Shenze,3,,
130129,贊皇,Zanhuang,Zanhuang,3,,
130130,無極,Wuji,Wuji,3,,
130131,平山,Pingshan,Pingshan,3,,
130132,元氏,Yuanshi,Yuanshi,3,,
130133,趙縣,Zhao xian,Zhao xian,3,,
130181,辛集市,Xinji shi,Xinji shi,3,37.8840669,115.3085518
130182,槁城市,Gaocheng shi,Gaocheng shi,3,,
130183,晉州市,Jinzhou shi,Jinzhou shi,3,,
130184,新樂市,Xinle shi,Xinle shi,3,,
130185,鹿泉市,Luquan shi,Luquan shi,3,38.0838296,114.3474627
130200,唐山市,Tangshan shi,Tangshan shi,2,39.6305810,118.1804037
130201,唐山市轄區,Tangshan shixiaqu,Tangshan shixiaqu,3,,
130202,唐山﹕路南區,Tangshan: Lunan qu,Tangshan: Lunan qu,3,,
130203,唐山﹕路北區,Tangshan: Lubei qu,Tangshan: Lubei qu,3,,
130204,古冶区,,,3,39.7074425,118.4469616
130205,唐山﹕開平區,Tangshan: Kaiping qu,Tangshan: Kaiping qu,3,,
130207,丰南区,,,3,39.4285361,118.1607163
130208,丰润区,,,3,39.8052557,118.0663884
130209,曹妃甸区,,,3,,
130223,灤縣,Luan xian,Luan xian,3,,
130224,灤南,Luannan,Luannan,3,,
130225,樂亭,Leting,Leting,3,,
130227,遷西,Qianxi,Qianxi,3,,
130229,玉田,Yutian,Yutian,3,,
130281,遵化市,Zunhua shi,Zunhua shi,3,40.1409671,117.9049194
130283,迁安市,,,3,40.0521003,118.6920190
130300,秦皇島市,Qinhuangdao shi,Qinhuangdao shi,2,,
130301,秦皇島市轄區,Qinhuangdao shixiaqu,Qinhuangdao shixiaqu,3,,
130302,秦皇島﹕海港區,Qinhuangdao: Haigang qu,Qinhuangdao: Haigang qu,3,,
130303,秦皇島﹕山海關區,Qinhuangdao: Shanhaiguan qu,Qinhuangdao: Shanhaiguan qu,3,,
130304,秦皇島﹕北戴河區,Qinhuangdao: Beidaihe qu,Qinhuangdao: Beidaihe qu,3,,
130321,青龍,Qinglong,Qinglong,3,,
130322,昌黎,Changli,Changli,3,,
130323,撫寧,Funing,Funing,3,,
130324,盧龍,Lulong,Lulong,3,,
130400,邯鄲市,Handan shi,Handan shi,2,,
130401,邯鄲市轄區,Handan shixiaqu,Handan shixiaqu,3,,
130402,邯鄲﹕邯山區,Handan: Hanshan qu,Handan: Hanshan qu,3,,
130403,丛台区,,,3,36.6187225,114.4934821
130404,邯鄲﹕復興區,Handan: Fuxing qu,Handan: Fuxing qu,3,,
130406,邯鄲﹕峰峰礦區,Handan: Fengfeng Kuangqu,Handan: Fengfeng Kuangqu,3,,
130421,邯鄲,Handan,Handan,3,,
130423,臨漳,Linzhang,Linzhang,3,,
130424,成安,Cheng'an,Cheng'an,3,,
130425,大名,Daming,Daming,3,,
130426,涉縣,She xian,She xian,3,,
130427,磁縣,Ci xian,Ci xian,3,,
130428,肥鄉,Feixiang,Feixiang,3,,
130429,永年,Yongnian,Yongnian,3,,
130430,邱县,,,3,36.7963043,115.1936138
130431,雞澤,Jize,Jize,3,,
130432,廣平,Guangping,Guangping,3,,
130433,館陶,Guantao,Guantao,3,,
130434,魏縣,Wei xian,Wei xian,3,,
130435,曲周,Quzhou,Quzhou,3,,
130481,武安市,Wu'an shi,Wu'an shi,3,36.6784094,114.0685773
130500,邢台市,Xingtai shi,Xingtai shi,2,37.0683018,114.4932461
130501,邢台市轄區,Xingtai shixiaqu,Xingtai shixiaqu,3,,
130502,邢台﹕橋東區,Xingtai: Qiaodong qu,Xingtai: Qiaodong qu,3,,
130503,邢台﹕橋西區,Xingtai: Qiaoxi qu,Xingtai: Qiaoxi qu,3,,
130521,邢台,Xingtai,Xingtai,3,,
130522,臨城,Lincheng,Lincheng,3,,
130523,內丘,Neiqiu,Neiqiu,3,,
130524,柏鄉,Baixiang,Baixiang,3,,
130525,隆堯,Longyao,Longyao,3,,
130526,任縣,Ren xian,Ren xian,3,,
130527,南和,Nanhe,Nanhe,3,,
130528,寧晉,Ningjin,Ningjin,3,,
130529,巨鹿,Julu,Julu,3,,
130530,新河,Xinhe,Xinhe,3,,
130531,廣宗,Guangzong,Guangzong,3,,
130532,平鄉,Pingxiang,Pingxiang,3,,
130533,威縣,Wei xian,Wei xian,3,,
130534,清河,Qinghe,Qinghe,3,,
130535,臨西,Linxi,Linxi,3,,
130581,南宫市,,,3,37.3614937,115.3867006
130582,沙河市,,,3,36.8549520,114.5033205
